nom_de_la_commune,code_postal,ligne_5
TAULIGNAN,26770,
CHAMBRY,2000,
BOURNAINVILLE FAVEROLLES,27230,BOURNAINVILLE
TEYSSIERES,26220,
CHAOURSE,2340,
BOURNAINVILLE FAVEROLLES,27230,FAVEROLLES LES MARES
LES TOURRETTES,26740,
CHARMES,2800,
BOURNEVILLE STE CROIX,27500,STE CROIX SUR AIZIER
UPIE,26120,
CHAUDUN,2200,
BOURTH,27580,
VALENCE,26000,
CHAUNY,2300,
BRAY,27170,
VASSIEUX EN VERCORS,26420,
CHEZY EN ORXOIS,2810,
BRETEUIL,27160,CINTRAY
VERCLAUSE,26510,
CHIVY LES ETOUVELLES,2000,
BREUX SUR AVRE,27570,
VERONNE,26340,
CIRY SALSOGNE,2220,
CAUMONT,27310,
VOLVENT,26470,
CLASTRES,2440,
CAUVERVILLE EN ROUMOIS,27350,
JAILLANS,26300,
COLONFAY,2120,
CHAMBLAC,27270,BOSC MOREL
AIGLEVILLE,27120,
COMMENCHON,2300,
CHAMBORD,27250,
AILLY,27600,
CONDE SUR SUIPPE,2190,
LA CHAPELLE DU BOIS DES FAULX,27930,
AMFREVILLE LES CHAMPS,27380,
CORBENY,2820,
CHAUVINCOURT PROVEMONT,27150,
ANGERVILLE LA CAMPAGNE,27930,
COURCHAMPS,2810,
CIERREY,27930,
APPEVILLE ANNEBAULT,27290,
COURTEMONT VARENNES,2850,
COLLANDRES QUINCARNON,27190,
ASNIERES,27260,
CRAMAILLE,2130,
CONCHES EN OUCHE,27190,
LE VAL D HAZEY,27940,AUBEVOYE
CREPY,2870,
CONDE SUR RISLE,27290,
AUTHOU,27290,
LA CROIX SUR OURCQ,2210,
CONNELLES,27430,
BACQUEVILLE,27440,
CROUTTES SUR MARNE,2310,
COUDRES,27220,
BARC,27170,
CROUY,2880,
LA CROISILLE,27190,
BARNEVILLE SUR SEINE,27310,
DALLON,2680,
CROSVILLE LA VIEILLE,27110,
BARQUET,27170,
DERCY,2270,
MESNILS SUR ITON,27240,BOISSY SUR DAMVILLE
MESNIL EN OUCHE,27330,THEVRAY
DOHIS,2360,
MESNILS SUR ITON,27240,DAMVILLE
